Company Name,Job Role,Internship,Base,CTC
CBX1,Software Engineer,50000,17,21
Meesho,Business Analyst,35000,13,21
Deutsche Bank,Graduate Analyst,,,20.2
Typeface,Software Engineer,50000,16,20
Komprise,Software Test Engineer,50000,15.54,20
Multiplier,Associate Software Engineer,80000,15,20
Vyapar App,Software Engineer - 1,40000,12,20
NetApp,Software Engineer (Cloud),,,20
F5 ,Software Engineer Intern,75000,,20
Akamai Technologies,Software Engineer,,14.36,19.89
Akamai Technologies,SDET,,14.36,19.89
Akamai Technologies,,35000,14.36,19.89
JPMorgan Chase & Co.,Software Engineer Intern,75000,13.5,19.5
Applied Materials,,,,19.5
Oracle,Associate Application Developer,,14.5,19.18
American Express,Engineer Trainee,100000,13.87,19.15
Superjoin,Engineering Explorer,30000,13,19
Gupshup Technologies,,,,19
Lowe's,Associate Software Engineer,,14.15,18.76
IBM,Software Developer (Systems),30000,17,18.75
IBM,Software Developer (Software Labs),30000,17,18.75
IBM,Software Developer (Cloud),30000,17,18.75
Amagi,Product Software Engineer,,15.17,18.17
IDFC First Bank,Application Engineer,40000,14,18.1
Rapido,Associate Product Engineer,,15,18
Cynlr,Software Developer,30000,14,18
RTCamp,WordPress Developer,,,18
Sixt,Software Development Engineer - 1,40000,13,17.5
HPE,Software Engineer (R&D),40000,12,17.5
HPE,Software Engineer (Operations),40000,12,17.5
HPE,Software Engineer (CTY),40000,12,17.5
Druva Inc.,,,,17.5
Ion Group,,,,17.3
Dezerv,Software Engineer,75000,15,17
BT Group,Software Engineering Professional,60000,13,17
Druva,,,,17
Dolat Capital,Software Developer C++,,,17
Nike,Software Engineer - 1,,13.85,16.85
Juniper Networks,Software Engineering Intern,42000,,16.5
Sandvine,Software Engineer,,12.5,16.37
Sandvine,Software Test Engineer,,12.5,16.37
Applied Materials,IT Solutions Management,37500,9.46,16.3
GE Healthcare,Edison Engineering Developer,40000,13,16.2
Zeta,Software Development Engineer,,14.4,16
Licious,Software Engineer,40000,12,16
Ittiam,,,,16
Ciena,,,,16
Aveva,Software Developer,50000,13.5,15.8
TOM TOM Intl.,,,,15.7
Media.net,Site Reliability Engineer,,13,15.67
Akamai Technologies,Software Engineer (Cyber Security),,,15.44
Akamai Technologies,SDET (Cyber Security),,,15.44
Gigsky,Software Engineer,40000,14,15
Prime Numbers,Software Engineer - 1,30000,12,15
Gajabuja,Associate Software Engineer,,10,15
Lemnisk,Software Engineer - 1,,6,15
Lemnisk,Software Engineer - 1 (UI),,6,15
Lemnisk,Software Engineer - Tech Integration,,6,15
SigLens,,,,15
McKesson,Software Development Engineer (Data),60000,,15
G2,,40000,,15
Cadence,,,,15
Aurva,Software Engineer,40000,,15
Thorogood,Data and AI Consultant,,,14.81
Gameberry Labs,Software Development Engineer,50000,13,14.8
Phillips,Software Engineer,45000,11.5,14.5
UBS Business Solutions,,,,14.5
Lam Research,Software Engineer - 1,,10.9,14.49
DISH Networks,Engineer,25000,12,14.1
Egnyte,Software Engineer,50000,13,14
Signify Innovation Lab,Assistant Development Engineer,32000,11,14
Netradyne,Software Development Engineer in Test,35000,10,14
Bain,Analyst,40000,9.9,14
NVIDIA,,,,14
Lumber,Full Stack Developer Intern,55000,,14
ConcentricAI,,,,14
BMC Softwares,,,,14
BMC Softwares,,,,14
Barclays,Technology Graduate Analyst,,,14
Avaya,,,,14
Maersk Global Service Center,,,,13.88
eQ Technologic,,,,13.88
ZS Associates,,,,13.65
IG Group,,,12,13.63
Mastercard,,,,13.4
eQ Technologie (SDE),,,,13.4
PubMatic India Pvt Ltd,,,,13.39
Talkdesk,,100000,12,13
Körber,Software Engineer,50000,11.26,13
Consuma,Software Engineer (Backend),35000,9,13
Seclore,Product Manager,,,13
Pubmatic,,,,13
Amadeus,Software Development Engineer - 1,30000,10,12.6
Schlumberger (SLB),,,,12.5
Flexera,Software Engineer,,,12.5
ACI Worldwide,,,,12.5
IDeaS,,,,12.4
Commonwealth Bank of Australia,Graduate Software Engineer,,,12.3
Societe Generale,Software Engineer,32500,10,12.21
Societe Generale,Cybersecurity Engineer,32500,10,12.21
eLitmus,Software Developer,29000,8,12.11
Cars24,Software Development Engineer,30000,11.4,12
McKinsey,Software Development Engineer,75000,10.91,12
General Mills,ECP Trainee,35000,10.5,12
WNS Analytics,Analyst,,10,12
Jar App,Software Development Engineer - 1,35000,10,12
Infibeam,Software Development Engineer,20000,10,12
Fidelity Investments,Data Engineering Intern,35000,10,12
Fidelity Investments,Software Engineering Intern,35000,10,12
Epsilon,Software Engineer,30000,10,12
BigEndian Semiconductors,ASIC Developer,,10,12
ABB,Associate Software Engineer (Analytics),,10,12
Baxter Healthcare,Software Engineer - 1 (Digital),30000,9.9,12
Baxter Healthcare,Software Engineer - 1 (Embedded),30000,9.9,12
Schneider Electric,Graduate Engineer Trainee,35000,9,12
Qest,Software Engineer,30000,7.2,12
OneCap,Software Development Engineer,25000,6,12
Zensar Technologies,,,,12
Tredence,Data Analyst,,,12
Schneider Electric,,,,12
Purple Block,Data Science Intern,25000,,12
Platform9,,,,12
Physics Wallah,Software Development Trainee,35000,,12
Netcore,Associate Software Engineer,15000,,12
NCR Atleos,,,,12
MortgageKart,,,,12
Logik,Software Development Engineer,35000,,12
iNube,Software Analyst,30000,,12
Gnani,AI Engineer Intern,30000,,12
Dell,,,,12
ConSecure,Software Engineer - NextGen Intelligence,25000,,12
Cimpress,Software Engineer,45000,,12
Candescent,Software Engineer,30000,,12
Bizom ( Mobisy Technologies Pvt Ltd ),,,,12
Aspect Ratio,,,,12
Northern Trust,,,,11.7
Mastercard,,,,11.55
Toshiba Software,Associate Software Engineer,45000,10,11.5
Havells India Limited ,IoT and Software Roles,25000,8,11.5
Toshiba,,,,11.5
eQ Technologic (QA),,,,11.13
Thoughtworks,,,,11.1
AccioJob,Data Engineer,,,11.1
AccioJob,Infrastructure Engineer,,,11.1
Superleap,Technical Product Analyst,25000,6,11
Siemens Regular,,,,11
Siemens DISW,,,,11
Siemens,,,,11
OnlineSales.ai,,,,11
Hindustan Uniliver Limited,,,,11
Energy Exemplar,Software Developement Intern,40000,,11
Energy Exemplar,,,,11
Dover,Software Engineer,25000,,11
Cashfree Payments,DevOps Intern,42000,,11
Altometa,,,,11
Eurofins,Associate Software Engineer,,,10.75
nVent,,,,10.56
IDeaS - A SAS Company (Associate Software Developer),,,,10.5
TIAA,,,,10.48
Conga,,12000,,10.44
Telstra,,,9.43,10
Oracle,Associate Consultant,50000,9.34,10
Tejas Networks,NMS,30000,8.97,10
Tejas Networks,Hardware,30000,8.97,10
Jar App,Data Analyst,,8.1,10
Consuma Technologies Pvt. Ltd.,Analyst,40000,6,10
Bluebird,Software Engineer,25000,6,10
Zoomcar,DevOps Intern,25000,,10
Zensar,,,,10
Whirpool,,,,10
UST,,,,10
UPL,NextGen Intern,40000,,10
UPL,Automation Engineer,,,10
Tejas Networks,Software ,30000,,10
ST Telemedia,,,,10
SEDEMAC Mechatronics,,,,10
SAS,,,,10
Philips,,,,10
IDfy,,25000,,10
GKN Aerospace,Graduate Trainee,,,10
Cummins,,,,10
CloudLex,,,,10
Broadridge,,30000,,10
Bizom,Product Trainee,35000,,10
Azentio,Software Development Engineer in Test,50000,,10
Avegen,,,,10
Signify Innovations India Ltd. (Cooper Lighting Solutions),,,,9.87
Havells India Limited ,Power Electronics and Solar Roles,25000,7,9.5
Oracle Financial Services,,,,9.5
Infosys,Specialist Programmer,,,9.5
Infosys,,,,9.5
Oracle 2,,,,9.34
PeopleBox,Software Engineer,20000,8,9
The Digital Fifth,Analyst,,,9
TCS R&1,,,,9
Principal Global,,,,9
Oro Labs.AI Dev,,,,9
OneSubsea,,,,9
Metro GSC,,,,9
Jones Lang Lasalle Technologies,,35000,,9
HummingBird Web Solutions,,,,9
HSBC,,,,9
Flex Trade,,,,9
Emplay,Associate Data Scientist,20000,,9
Eaton Supply Chain Management,,,,9
Bhoomi Software,,40000,,9
Bentley Systems,,,,9
Altizon,,,,9
Gensol EPC (Blusmart),,,,8.85
EY India,,,7.5,8.59
Merkle,Software Engineer,,7,8.5
Merkle,Analyst,,7,8.5
Quantiphi,Business Analyst,,,8.5
Quantiphi,Framework Engineer,,,8.5
Quantiphi,Machine Learning Engineer,,,8.5
Quantiphi,,,,8.5
Merilytics,,,,8.5
HelpShift,,,,8.5
Aptiv,,25000,,8.5
AstraZeneca,,25000,,8.43
ICICI Bank,Software Engineer,,,8.3
Nibrus Technologies,Software Engineer Intern,15000,6.5,8.2
HashedIn Technologies,,,,8.1
Krazybee Services,Software Engineer,25000,7,8
JSW Group,Graduate Engineer Trainee,,6.8,8
Morphle Labs,Software Testing Intern,25000,5,8
Consilio,Associate,,5,8
Wissen technology,,,,8
Tyfone,Software Engineer,,,8
Think41,,,,8
Shadowfax,,20000,,8
Sedemac,,,,8
Rockwell,,,,8
Rackware Automation,,,,8
Promobi,,,,8
Principal Global,,,,8
Panzura,,,,8
O9 Solutions,SDET Intern,30000,,8
Nihilent,,,,8
Nice Systems,,,,8
Nice,,,,8
National Petroleum Construction Company (NPCC),,,,8
Meeraq,Software Intern,30000,,8
Media.net,Web Application Developer,,,8
Kylas,,,,8
KreditBee,Software Engineer,25000,,8
KPMG,Consultant Intern,20000,,8
HP,GIT Role,30000,,8
Honeywell,,,,8
Esyasoft Technologies,Software Engineer Trainee,,,8
EPAM,Junior Software Engineer,25000,,8
Emerson,,,,8
Embitel Technologies,Trainee Engineer,30000,,8
Digital.ai,,25000,,8
Crestron,,30000,,8
ConSecure ,Software Engineer (Next-Gen Cybersecurity),20000,,8
Colgate,Data Analysis,,,8
Ciklum,,,,8
CerenceAl,,,,8
Celstream,Software Engineer,30000,,8
Bounteous x Accolite,,20000,,8
BlackBuck,Associate Software Engineer,30000,,8
Bizom,Presales,25000,,8
Mahanagar Gas Limited,,,,7.8
Dassault Systems,,,,7.8
Godrej & Boyce,,,,7.75
RSM USI,,,,7.7
Delloite USI,Consulting Analyst,,6,7.6
Delloite India,HC HRT,,6,7.6
Delloite India,QE,,6,7.6
Delloite India,ADMM,,6,7.6
Delloite India,M&C,,6,7.6
Delloite India,ET&P SAP,,6,7.6
Delloite India,FT GBS,,6,7.6
Delloite India,ET&P Oracle,,6,7.6
Volvo,Associate Graduate Engineer,,,7.5
Tata Power,,,,7.5
Sell.do,,,,7.5
Schlumberger (SLB),,,,7.5
Reliance Industries Ltd,,,,7.5
Rahi Technolgies,,,,7.5
Quorum,,,,7.5
IdeaS- A SAS Company ( Product Success Specialist ),,,,7.5
Bizom,Business Development Manager,25000,,7.5
HP,Managed Services,20000,,7.48
Oracle,,,,7.27
Sun Life,Gradute Engineer Trainee,,,7.25
Evam Labs,Intern,30000,,7.2
Wynum Automation,,,,7.1
PhData,Consultant,,6.39,7
Webknot Technologies,Software Developer Trainee,15000,6,7
KPMG,GRCS Telecom,20000,6,7
KPMG,Digital Trust,20000,5,7
KPMG, Analyst,,5,7
Xceedance,,,,7
Tyfone,QA Engineer,,,7
Think 41,Full Stack Engineer,25000,,7
TCS Digital,,,,7
TCS Digital,,,,7
Ria Advisory,,,,7
Rhythmflow,,,,7
PayU,,,,7
Oro Labs. AΙ,,,,7
Ninjacart,Tech Intern,15000,,7
Mphasis,,20000,,7
Mphasis,,,,7
Incubyte,,,,7
Hourglass,,20000,,7
Honeywell,,,,7
Fractal analytics,,,,7
Equifax,,,,7
Entrata,,,,7
EMIDS,Associate Software Engineer,,,7
DeltaX,,0,,7
DeltaX,,,,7
Cencora,,,,7
Bizom,Sales Developement Representative,25000,,7
Accelya,,,,7
7-Eleven GSC,Cybersecurity Intern,30000,,7
(NTT solutions)SAP,,,,7
NCS Technologies,,,,6.82
Cognizant GenC Next,,,,6.75
Larson & Toubro,,,,6.72
Siemens Limited,,,,6.6
Greenway Health India,Associate Software Engineer,40000,5.5,6.5
L7 Informatics,,25000,3.25,6.5
Technip Energies,,,,6.5
Technimont,,,,6.5
Techbulls SoftTech,,,,6.5
Qualys,,,,6.5
Johnson Control,,,,6.5
Hyosung T&D India,,,,6.5
Faurecia Forvia,,,,6.5
EY,Senior Analyst,,,6.5
Cognizant,GenC,,,6.5
Burns & Mcdonnell,,,,6.5
Atlas Copco Gecia,,,,6.5
Afcons,,,,6.5
Adani Group,,,,6.5
GW DeepConnect Technlogies,Software Engineer,20000,5,6.48
Siemens Energy,,,,6.38
Columbia Sportswear Company,Software Engineer Trainee,,,6.26
Textron,,25000,,6.25
CCTech,,,,6.2
Sgurr Energy,,,,6.1
HomeVille,FullStack Developer,,,6.1
CreditAccess Grameen Limited,Data Analyst,,5.2,6
Snapmint,Junior Analyst,,5,6
Cubic Logics,Software Development Engineer,15000,4.5,6
Tsalla Aerospace,Junior Engineer,25000,4.2,6
BCE Global Tech,Dev,,4,6
Walter P Moore,,,,6
Wafer Space (An ACL Digital Company),,,,6
Vayavya Lab,,,,6
SecPod,Test automation Engineer,25000,,6
Nouveau Labs,Software Engineer,25000,,6
miniOrange,,,,6
Man Truck,,,,6
L&T,Graduate Engineer Trainee,,,6
Jacobs,,,,6
Fluidyn,,20000,,6
FleetGaurd Filters,,,,6
Dataeaze,,,,6
ConSecure ,PreSales,15000,,6
Cloudstrats,,,,6
Bizom,Marketing,25000,,6
Bizom,,25000,,6
Allied Softech,,,,6
6D Technologies,AI & Data Science Engineering Intern,18000,,6
Worley Services India Pvt Ltd,,,,5.8
NCS,,,,5.62
PeopleBox,SDET,15000,4.5,5.5
MathCo (The MathCompany),Trainee Analyst,,4.5,5.5
Wipro,"Turbo Telecom, Automotive, Embedded & CPPE",,,5.5
Toyo Engineering,,,,5.5
Thyssenkrupp,,,,5.5
Tech Mahindra,Graduate Trainee,,,5.5
Tata Consulting Engineers (TCE),,,,5.5
Smile Lab,,,,5.5
Jisa Softech,,,,5.5
Harman,,30000,,5.5
Harman,,,,5.5
DoubleTick,,,,5.5
Centiro,,,,5.5
Capgemini,,,,5.5
AmpereHour Energy,,,,5.5
Ellicium,,,,5.1
Winman Software,Software Engineer - L2,15000,,5
Tsalla Aerospace,Junior Engineer,20000,,5
Safran Engineering service,,,,5
Kenscio,Software Developer Intern,25000,,5
Jones Lang LaSalle Incorporated India (JLL),,,,5
Invimatic,,,,5
International Design & Engg. Sol.,,,,5
Healthasyst,Software Developer Trainee,,,5
Eximietas Design,Engineer,,,5
ConSecure,Software Engineer - Full Stack Dev,12000,,5
Cognizant,,,,5
IBM,Assoicate System Engineer,,,4.75
Winman Software,Software Engineer - L1,15000,3.75,4.5
Torrent Power,,,,4.5
Telamon,,,,4.5
TATA Technologies,,,,4.5
Quality Power,,,,4.5
IBM,,,,4.5
Healthasyst,Software QA Trainee,,,4.5
Cognizant,,,,4.5
Bosch,,,,4.5
Ascendion,Associate Engineer,,,4.5
Adani Cement,,,,4.5
Accenture,Associate Software Engineer,,,4.5
HCLTech,Graduate Engineer Trainee,,,4.25
Eram Magnaflux,,,,4.25
Enpro Industries,,,,4.25
Capgimini,4.25 LPA Role,,,4.25
Shah Technical Consultant,,,,4.2
Rudder Analytics,,,,4.2
LTIMindTree,Graduate Engineer Trainee,,,4.05
VRF Aircon Pvt Ltd,,,,4
SimplyFI Softech,Innovation Trainee & Innovation Engineer,15000,,4
Microland,Engineering Trainee,,,4
Cognizant GenC,,,,4
Arys Garage,Software Engineer,,,4
CGI,Associate Software Engineer,,,3.92
Shapoorji PallonJi,,,,3.75
Nagarjuna Construction Company (NCC),,,,3.75
Infosys,Systems Engineer,,,3.6
Infosys,,,,3.6
Wipro,"Elite - Telecom, Automotive, Embedded & CPPE",,,3.5
TCS Ninja,,,,3.3
Tech Mahindra,Graduate Trainee,,,3.25
Evam Labs,DS/DE/FS/UI,30000,7.2,
Zynga,Software Engineer Intern,80000,,
ZScaler,Software Development Intern,75000,,
Ziroh Labs,Swift Development Intern,20000,,
Ziroh Labs,Java Development Intern,20000,,
Ziroh Labs,C# Development Intern,20000,,
Zeta,Engineering Intern,60000,,
Zepto,Quality Assurance Specialist Intern,25000,,
Zebra Technologies,,33600,,
Zanskar,Software Engineer Intern,40000,,
Wayfair,Software Engineering Intern,75000,,
Walmart ,Intern,100000,,
Walmart ,Cybersecurity Intern,100000,,
Victoria's Secret,Data Scientist Intern,45000,,
Udaan,Software Development Engineer Intern,55000,,
Target,Apprentice,30000,,
Swiggy,Engineering Intern,40000,,
Swiggy,Product Analytics Intern (Lynk),40000,,
Swiggy,Product Management Intern,40000,,
StockX,Product Intern,50000,,
Siemens,Software Analog Intern,50000,,
Siemens,Data Engineer Intern,50000,,
SAP Labs,Associate Consultant (BTP),,,
Sahaj AI,Software Developer Intern,20000,,
Rakuten,Software Engineer,30000,,
Raining Code Technologies,,20000,,
Progress,Software Development Intern,40000,,
Progress,Business Development Representative Intern,33000,,
Practsphere,Software Intern,50000,,
Ottowatt,Intern,42000,,
Oracle,Project Intern,50000,,
Oracle,Project Intern,50000,,
NVIDIA,Software Engineering Intern,80000,,
NVIDIA,Hardware Engineering Intern,80000,,
Nokia,,25000,,
Nike,Intern,75000,,
MyYogaTeacher,Software Engineer Intern,20000,,
Multiplier,Associate Product Manager Internship,80000,,
msg,,22000,,
Moengage,,50000,,
MediBuddy,Engineering Intern,25000,,
MatreComm,C++ Software Engineering Intern,25000,,
Kimberly Clark,Graduate Engineering Intern,25000,,
Keysight,Software Intern,50000,,
Kapiva,Intern,15000,,
Intuit,Software Engineer Intern,100000,,
Infloblox,Graduate Apprentice,35000,,
Hevo Data,Software Development Engineer Intern,50000,,
Healthi,Production Support Engineer Intern,18000,,
Harman,Intern,40000,,
Harman,,40000,,
Guidewire,Software Developer Intern,75000,,
Guidewire,Product Security Intern,50000,,
Guidewire,SecOps Intern,50000,,
Goldman Sachs,Analyst - GMLM,70000,,
Goldman Sachs,Analyst - Operations,70000,,
Gigsky,,35000,,
Garrett Motion,Cybersecurity Engineer Intern,30000,,
FrontM,Frontend Intern,25000,,
FinSynth AI,Software Developement Intern,35000,,
Expedia Group,Mobile Engineering Intern,35000,,
Expedia Group,Software Engineering Intern,35000,,
Drongo AI,,30000,,
Dover,Graduate Engineer Trainee,25000,,
Digital Blanket,Engineering Intern,25000,,
Datacore,Software Intern,35000,,
Confluent,Data Engineering Intern,100000,,
Confluent,Business Intelligence Intern,100000,,
Confluent,Cloud Infrastructure Engineer Intern,75000,,
Confluent,Applications Engineer Intern,75000,,
Collins Aerospace,Intern,20000,,
Bosch,Software Intern,35000,,
Boomi,Software Engineer Intern,45000,,
Boomi,Cloud Intern,45000,,
Boomi,Solutions Consulting Intern,45000,,
Boomi,Data Science Intern,45000,,
Blue Hat Solutions,Android Development Intern,20000,,
Blue Hat Solutions,Embedded Systems Development Intern,20000,,
Atlair,,30000,,
Ather Energy,Product Analyst Intern,30000,,
Ather Energy,Ride Experience Analyst Intern,30000,,
AT&T,Intern,49620,,
Arcesium,Site Reliablity Engineer Intern,100000,,
Aptos,Dev Intern,35000,,
Amuse Labs,Software Developement Intern,40000,,
AMD,Software Engineer Intern,34000,,
Allo Health,Software Engineering Intern,30000,,
Align,Engineer,50000,,
Alcon,Intern,25000,,
Aether,Product intern,30000,,
Adobe,Technical Consultant Intern,60000,,
AB InBev,Intern,30000,,
3rdiTech,Student Intern,25000,,
