Company Name,Role,Base,CTC
McKinsey,Software Development Engineer,10.91,12
General Mills,ECP Trainee,10.5,12
ABB,Associate Software Engineer (Analytics),10,12
BigEndian Semiconductors,ASIC Developer,10,12
Epsilon,Software Engineer,10,12
Fidelity Investments,Data Engineering Intern,10,12
Fidelity Investments,Software Engineering Intern,10,12
Infibeam,Software Development Engineer,10,12
Jar App,Software Development Engineer - 1,10,12
WNS Analytics,Analyst,10,12
Baxter Healthcare,Software Engineer - 1 (Digital),9.9,12
Baxter Healthcare,Software Engineer - 1 (Embedded),9.9,12
Schneider Electric,Graduate Engineer Trainee,9,12
Qest,Software Engineer,7.2,12
OneCap,Software Development Engineer,6,12
Aspect Ratio,,,12
Bizom ( Mobisy Technologies Pvt Ltd ),,,12
Candescent,Software Engineer,,12
Cimpress,Software Engineer,,12
ConSecure,Software Engineer - NextGen Intelligence,,12
Dell,,,12
Gnani,AI Engineer Intern,,12
iNube,Software Analyst,,12
Logik,Software Development Engineer,,12
MortgageKart,,,12
NCR Atleos,,,12
Netcore,Associate Software Engineer,,12
Physics Wallah,Software Development Trainee,,12
Platform9,,,12
Purple Block,Data Science Intern,,12
Schneider Electric,,,12
Tredence,Data Analyst,,12
Zensar Technologies,,,12
Northern Trust,,,11.7
Mastercard,,,11.55
Toshiba Software,Associate Software Engineer,10,11.5
Havells India Limited ,IoT and Software Roles,8,11.5
Toshiba,,,11.5
eQ Technologic (QA),,,11.13
AccioJob,Data Engineer,,11.1
AccioJob,Infrastructure Engineer,,11.1
Thoughtworks,,,11.1
Superleap,Technical Product Analyst,6,11
Altometa,,,11
Cashfree Payments,DevOps Intern,,11
Dover,Software Engineer,,11
Energy Exemplar,Software Developement Intern,,11
Energy Exemplar,,,11
Hindustan Uniliver Limited,,,11
OnlineSales.ai,,,11
Siemens,,,11
Siemens DISW,,,11
Siemens Regular,,,11
Eurofins,Associate Software Engineer,,10.75
nVent,,,10.56
IDeaS - A SAS Company (Associate Software Developer),,,10.5
TIAA,,,10.48
Conga,,,10.44
Telstra,,9.43,10
Oracle,Associate Consultant,9.34,10
Tejas Networks,NMS,8.97,10
Tejas Networks,Hardware,8.97,10
Jar App,Data Analyst,8.1,10
Bluebird,Software Engineer,6,10
Consuma Technologies Pvt. Ltd.,Analyst,6,10
Avegen,,,10
Azentio,Software Development Engineer in Test,,10
Bizom,Product Trainee,,10
Broadridge,,,10
CloudLex,,,10
Cummins,,,10
GKN Aerospace,Graduate Trainee,,10
IDfy,,,10
Philips,,,10
SAS,,,10
